shortname,city,conference_id
ATL,Atlanta,1
BOS,Boston,1
BRK,Brooklyn,1
CHI,Chicago,1
CHO,Charlotte,1
CLE,Cleveland,1
DAL,Dallas,2
DEN,Denver,2
DET,Detroit,1
GSW,Oakland,2
HOU,Houston,2
IND,Indianapolis,1
LAC,Los Angeles,2
LAL,Los Angeles,2
MEM,Memphis,2
MIA,Miami,1
MIL,Milwaukee,1
MIN,Minneapolis,2
NOP,New Orleans,2
NYK,New York City,1
OKC,Oklahoma City,2
ORL,Orlando,1
PHI,Philadelphia,1
PHO,Phoenix,2
POR,Portland,2
SAC,Sacramento,2
SAS,San Antonio,2
TOR,Toronto,1
UTA,Salt Lake City,2
WAS,Washington DC,1
